Date,Close/Last,Volume,Open,High,Low
05/22/2024,$15.00,418241,$13.64,$15.07,$13.60
05/21/2024,$13.62,363702,$13.82,$14.18,$13.33
05/20/2024,$13.79,307558,$13.99,$14.16,$13.72
05/17/2024,$14.21,199968,$14.68,$14.6814,$14.13
05/16/2024,$14.66,224310,$14.99,$15.00,$14.40
05/15/2024,$15.02,321855,$15.72,$15.87,$14.98
05/14/2024,$15.17,385283,$15.96,$16.29,$14.875
05/13/2024,$15.61,438228,$16.55,$16.97,$15.4478
05/10/2024,$16.21,388639,$17.50,$17.50,$15.94
05/09/2024,$16.95,360288,$16.43,$17.10,$16.00
05/08/2024,$16.61,471166,$17.34,$17.56,$16.02
05/07/2024,$17.56,950245,$15.68,$17.825,$15.47
05/06/2024,$15.78,976158,$15.55,$16.45,$15.38
05/03/2024,$15.36,1284838,$16.92,$17.13,$15.2144
05/02/2024,$16.62,494357,$17.39,$17.39,$16.53
05/01/2024,$16.94,424667,$17.02,$17.47,$16.85
04/30/2024,$17.02,527120,$16.77,$17.1461,$16.47
04/29/2024,$16.93,554844,$16.99,$17.45,$16.53
04/26/2024,$16.86,466719,$16.81,$17.37,$16.54
04/25/2024,$16.87,509819,$16.05,$17.02,$15.74
04/24/2024,$16.22,441585,$15.59,$16.25,$15.24
04/23/2024,$15.50,443830,$14.35,$15.76,$14.122
04/22/2024,$14.23,287330,$15.60,$15.66,$13.88
04/19/2024,$15.60,477111,$15.60,$16.15,$15.43
04/18/2024,$15.74,667313,$16.09,$16.1475,$15.08
04/17/2024,$16.08,2028487,$14.60,$17.04,$14.60
04/16/2024,$14.49,1546281,$12.83,$14.605,$12.83
04/15/2024,$12.89,328161,$13.10,$13.10,$12.12
04/12/2024,$13.03,359332,$13.32,$13.63,$12.51
04/11/2024,$13.38,587676,$12.01,$13.71,$11.80
04/10/2024,$12.05,458900,$12.02,$12.23,$11.73
04/09/2024,$12.34,439595,$12.56,$12.70,$11.795
04/08/2024,$12.14,894261,$12.42,$12.87,$12.10
04/05/2024,$12.23,920861,$11.14,$12.30,$10.99
04/04/2024,$11.24,300231,$11.03,$11.29,$10.74
04/03/2024,$10.80,317561,$10.74,$10.97,$10.49
04/02/2024,$10.72,379268,$10.74,$10.959,$10.55
04/01/2024,$11.02,525459,$11.25,$11.45,$10.65
03/28/2024,$11.15,1184876,$11.45,$11.45,$10.60
03/27/2024,$11.41,197181,$11.61,$11.66,$10.95
03/26/2024,$11.19,261983,$11.85,$11.89,$11.17
03/25/2024,$11.72,268811,$11.75,$12.17,$11.4968
03/22/2024,$11.74,525141,$12.05,$12.38,$11.51
03/21/2024,$12.51,580706,$12.24,$12.69,$12.04
03/20/2024,$12.00,254024,$11.52,$12.18,$11.35
03/19/2024,$11.56,405738,$11.20,$11.87,$11.055
03/18/2024,$10.95,261890,$11.10,$11.26,$10.78
03/15/2024,$11.30,546635,$11.14,$11.68,$10.955
03/14/2024,$11.15,379165,$11.49,$11.55,$10.80
03/13/2024,$11.60,489273,$12.26,$12.37,$11.0375
03/12/2024,$12.37,820973,$13.41,$13.4982,$12.31
03/11/2024,$13.46,813666,$15.58,$15.58,$13.109
03/08/2024,$15.21,1006762,$14.12,$16.08,$13.30
03/07/2024,$16.24,298745,$14.85,$16.39,$14.69
03/06/2024,$14.77,305339,$15.12,$15.245,$14.6835
03/05/2024,$14.77,203914,$14.44,$14.94,$14.44
03/04/2024,$14.70,308193,$15.26,$15.2775,$14.585
03/01/2024,$15.03,441940,$14.73,$15.26,$14.689
02/29/2024,$14.67,542487,$14.87,$15.415,$14.60
02/28/2024,$14.51,648348,$16.17,$16.17,$14.03
02/27/2024,$16.41,312004,$16.81,$16.99,$15.875
02/26/2024,$16.45,868277,$15.76,$17.4154,$15.44
02/23/2024,$15.85,213177,$16.13,$16.29,$15.66
02/22/2024,$16.05,150731,$15.96,$16.29,$15.655
02/21/2024,$15.86,222066,$16.12,$16.26,$15.32
02/20/2024,$16.25,261635,$15.85,$16.34,$15.85
02/16/2024,$15.85,299515,$16.79,$16.79,$15.47
02/15/2024,$16.79,573685,$16.13,$17.42,$16.06
02/14/2024,$15.84,276176,$14.54,$15.9999,$14.50
02/13/2024,$14.16,209211,$14.29,$14.58,$13.90
02/12/2024,$14.99,239640,$14.20,$15.00,$14.15
02/09/2024,$14.06,322909,$13.98,$14.225,$13.36
02/08/2024,$13.82,426121,$15.03,$15.135,$13.78
02/07/2024,$15.05,348204,$15.67,$15.67,$14.39
02/06/2024,$15.64,321699,$15.87,$16.00,$14.7005
02/05/2024,$15.65,508445,$14.51,$15.78,$14.23
02/02/2024,$14.70,340881,$14.75,$14.91,$14.14
02/01/2024,$15.00,296058,$14.47,$15.19,$14.15
01/31/2024,$14.41,282178,$14.29,$14.72,$13.68
01/30/2024,$14.41,339229,$14.75,$14.75,$13.85
01/29/2024,$14.97,219479,$14.79,$15.23,$14.26
01/26/2024,$14.74,136764,$14.47,$14.79,$14.25
01/25/2024,$14.48,211421,$14.48,$15.09,$14.308
01/24/2024,$14.21,177565,$13.93,$14.54,$13.7559
01/23/2024,$13.59,204191,$13.55,$13.92,$13.3212
01/22/2024,$13.36,200536,$13.41,$13.68,$13.03
01/19/2024,$13.31,223871,$12.81,$13.33,$12.47
01/18/2024,$12.76,346795,$14.04,$14.04,$12.69
01/17/2024,$13.95,276919,$13.80,$14.15,$13.28
01/16/2024,$13.97,220369,$14.11,$14.26,$13.65
01/12/2024,$14.34,290469,$14.05,$14.55,$14.05
01/11/2024,$14.05,209218,$14.32,$14.565,$13.7884
01/10/2024,$14.40,340813,$14.43,$14.79,$14.155
01/09/2024,$14.47,232277,$14.15,$14.70,$13.97
01/08/2024,$14.32,363415,$12.51,$14.33,$12.45
01/05/2024,$12.59,313087,$13.06,$13.105,$12.51
01/04/2024,$13.06,426307,$13.59,$13.8958,$13.05
01/03/2024,$14.38,462587,$14.14,$14.65,$13.77
01/02/2024,$14.55,435229,$14.71,$15.35,$14.31
12/29/2023,$14.89,728994,$15.04,$15.25,$14.66
12/28/2023,$15.285,462383,$14.79,$15.93,$14.74
12/27/2023,$14.87,276095,$15.17,$15.25,$14.68
12/26/2023,$15.09,437058,$15.44,$15.5072,$14.93
12/22/2023,$15.38,929234,$13.40,$15.50,$13.40
12/21/2023,$13.03,246158,$13.60,$13.9999,$12.92
12/20/2023,$13.16,275470,$13.92,$13.99,$13.14
12/19/2023,$13.99,362430,$13.67,$14.07,$13.67
12/18/2023,$13.59,526673,$13.36,$13.76,$13.07
12/15/2023,$13.55,2172663,$13.39,$14.18,$13.36
12/14/2023,$13.19,402160,$13.68,$13.76,$12.80
12/13/2023,$13.30,621380,$12.93,$13.44,$12.665
12/12/2023,$12.81,712929,$12.98,$13.30,$12.28
12/11/2023,$12.50,983152,$12.25,$12.65,$11.441
12/08/2023,$12.26,3850931,$10.22,$13.50,$10.15
12/07/2023,$9.25,436967,$8.49,$9.28,$8.2701
12/06/2023,$8.43,235366,$8.25,$8.59,$8.11
12/05/2023,$8.16,213223,$8.11,$8.4094,$7.98
12/04/2023,$8.30,332991,$7.99,$8.62,$7.99
12/01/2023,$8.01,335123,$7.75,$8.03,$7.35
11/30/2023,$7.84,524925,$8.72,$8.78,$7.81
11/29/2023,$8.325,613640,$9.07,$9.30,$8.225
